time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
17.00999999999986,0.01,-0.2312207640715149,0.05166907268173579,3.4045391223608945,-0.11189380397283269,-0.14746984719786627,0.0,0.5,-0.1,128.00000000000003,255.00000000000006
17.01999999999986,0.01,-0.2574110084765144,0.051669298941137365,3.4020875277226015,-0.11178907442151048,-0.1479767085666913,0.0,0.5,-0.1,154.00000000000003,254.00000000000006
17.029999999999863,0.01,-0.2758905853953558,0.051669444332509716,3.3994195664777966,-0.11168843036799747,-0.1484845788853339,0.0,0.5,-0.1,183.00000000000003,254.00000000000006
17.039999999999864,0.01,-0.2953678193384584,0.0516696101330824,3.39656421067333,-0.11159143533892263,-0.14899331693066153,0.0,0.5,-0.1,208.00000000000006,254.00000000000006
17.049999999999866,0.01,-0.3141409864515668,0.05166977969665281,3.39351514680396,-0.11149829209904047,-0.14950295085181936,0.0,0.5,-0.1,235.00000000000006,254.00000000000006
17.059999999999867,0.01,-0.3316389372363103,0.051669939912220346,3.390285670655919,-0.11140895927740316,-0.15001344286082297,0.0,0.5,-0.1,249.00000000000006,253.00000000000006
17.06999999999987,0.01,-0.3485359868416523,0.051670100275466806,3.386884208578067,-0.11132341307922489,-0.1505247592249751,0.0,0.5,-0.1,254.00000000000006,254.00000000000006
17.07999999999987,0.01,-0.36463784525907367,0.0516702568297671,3.3833176428992187,-0.11124166481258616,-0.15103687447205638,0.0,0.5,-0.1,254.00000000000006,243.00000000000006
17.089999999999872,0.01,-0.37998917199645305,0.05167040891676529,3.3795939219314155,-0.11116370479402751,-0.15154975716005026,0.0,0.5,-0.1,254.00000000000006,224.00000000000006
17.099999999999874,0.01,-0.3946588926999534,0.051670556853284054,3.3757201043180363,-0.11108952907355105,-0.15206337679749463,0.0,0.5,-0.1,254.00000000000006,189.00000000000003
17.109999999999875,0.01,-0.40865783923941046,0.051670699912006054,3.371702965130745,-0.11101913506698377,-0.1525777027929122,0.0,0.5,-0.1,254.00000000000006,141.00000000000003
17.119999999999877,0.01,-0.4220209978486853,0.05167083789285736,3.3675490462162148,-0.11095251904028192,-0.1530927039253694,0.0,0.5,-0.1,254.00000000000006,91.00000000000001
17.129999999999878,0.01,-0.4347783950370756,0.05167097062145851,3.363264546162682,-0.11088967815289294,-0.15360834890635844,0.0,0.1,-0.5,254.00000000000006,46.00000000000001
